Id,NAME,ADDRESS,CITY,STATE,ZIP,LAT,LON,PHONE,REVENUE,UTILIZATION
d2284f74-b6da-3a15-9791-84cdf2db18fb,EAST FALMOUTH FAMILY PRACTICE PC,331 E FALMOUTH HWY,E FALMOUTH,MA,025366039,41.57853245,-70.5617374807812,5084950704,0.0,28
71472d9b-aa5c-3b49-a5c3-d0eee8859015,BOURNE FAMILY MEDICINE PC,118 WATERHOUSE RD STE C,BOURNE,MA,025328305,41.7281115,-70.5861571324252,5087430899,0.0,35
5fcff9db-16e4-3e56-aa78-abbc16338097,THE LOWELL GENERAL HOSPITAL,295 VARNUM AVE,WESTFORD,MA,018863513,42.5792583,-71.4378411,9789376000,0.0,1
4ffa4412-1493-3beb-b8f0-6614dde953a4,SOUTHCOAST HOSPITAL GROUP  INC,363 HIGHLAND AVENUE,WAREHAM,MA,025715011,41.745636,-70.658192,5086793131,0.0,3
b6eeaaf7-1683-3bcb-b6ee-81ce304636ef,MELROSEWAKEFIELD HEALTHCARE  INC,170 GOVERNORS AVE,MELROSE,MA,021763225,42.4564323,-71.064182,7819793050,0.0,1
65eda534-1bdc-3192-8d02-1c3764447790,PERSONAL PHYSICIANS HEALTHCARE PC,1244 BOYLSTON ST,CHESTNUT HILL,MA,024672115,42.3214927,-71.1711481,6177310058,0.0,18
d613e441-68e8-3502-8adb-3f770a1276bf,PALMER FAMILY SERVICES LLC,114 WATER ST,MILFORD,MA,017573007,42.13661855,-71.53474614336832,5084782008,0.0,63
18061fd5-fda8-3e2d-87f0-0f3c87211bcc,CAMBRIDGE PUBLIC HEALTH COMMISSION,1493 CAMBRIDGE ST,SOMERVILLE,MA,021431408,42.3875968,-71.0994968,6176651000,0.0,2
7e97f720-f99d-3402-98a4-a144aaa5bd01,COMMUNITY HEALTH CENTER OF CAPE COD  INC.,210 JONES RD,FALMOUTH,MA,025402974,41.5614958,-70.6117407224321,5084777090,0.0,21
1e11392b-1278-3e70-93cd-f396cbd0c265,VHS ACQUISITION SUBSIDIARY NUMBER 9  INC.,115 LINCOLN ST,NATICK,MA,017607700,42.2843753,-71.3441395,5086507000,0.0,4
6cf8a214-8d57-3267-85e5-7719e15cd63e,LEMUEL SHATTUCK HOSPITAL,170 MORTON STREET,JAMAICA PLAIN,MA,021303735,42.299067750000006,-71.10124351911541,6175228110,0.0,3
440fa4b8-c731-3cf5-81d9-aa3f30a37b95,LAHEY HOSPITAL & MEDICAL CENTER  BURLINGTON,41 & 45 MALL ROAD,PEABODY,MA,019602901,42.5278731,-70.9286609,7817445100,0.0,1
3b021cb6-4745-3d9d-8436-230055f770bd,BETH ISRAEL DEACONESS HOSPITAL-NEEDHAM  INC.,148 CHESTNUT ST,NEEDHAM,MA,024943238,42.27728075,-71.23665362814043,7814533000,0.0,3
7b95b4ab-5bb6-3abc-b0e5-02689f84228d,READING INTERNAL MEDICINE ASSOCIATES INC,20 POND MEADOW DR,READING,MA,018673261,42.516645499999996,-71.09917578750729,7819440040,0.0,39
ad82d624-72eb-3c7d-a76d-79f2668d1390,WOODLAND INTERNISTS  P.C.,3 WOODLAND RD,STONEHAM,MA,021801711,42.452443099999996,-71.08939988105112,7816627990,0.0,23
b8421363-9807-3b16-a146-95336eea5cfb,COOLEY DICKINSON HOSPITAL INC,30 LOCUST ST,NORTHAMPTON,MA,010602052,42.33032115,-72.65330802608176,4135822000,0.0,3
b8e724d5-b999-3029-8a2d-ad30fbd0b9ce,BROCKTON NEIGHBORHOOD HEALTH CENTER  INC,63 MAIN ST,BROCKTON,MA,023014042,42.084598840000005,-71.01995972,5085596699,0.0,28
901c2d40-1ca3-3879-9a20-c663b8adc0a9,TUFTS MEDICAL CENTER,800 WASHINGTON STREET,STONEHAM,MA,021802445,42.4863168,-71.0928919,6176365000,0.0,5
6b2e5b97-70f6-3219-8c99-86de138e6808,PARTNERS IN INTERNAL MEDICINE PC,123 SUMMER ST,WORCESTER,MA,01608,42.26496835,-71.79655403681465,5083637300,0.0,16
